"id","action","symbol","strategy","tf","entry_time","entry_price","order_value","order_interval","price_10min","price_10min_ts","price_30min","price_30min_ts","price_60min","price_60min_ts","price_1day","price_1day_ts","result_10min","result_30min","result_60min","result_1day","pnl","created_at","updated_at","trade","martingale","signal_time"
3155,"Buy","BTCUSDT","Range FRAMA3-99","1","2025-09-09 03:55:04",112040.69173913,0,0,111945.65956522,"2025-09-09 04:05:05",112111.37978261,"2025-09-09 04:25:05",112267.35326087,"2025-09-09 04:55:05",0,,"LOSE","WIN","WIN",,0,"2025-09-09 03:55:04","2025-09-09 04:55:05",FALSE,FALSE,
3156,"FlowTrend Bearish + Sell","BTCUSDT","MWP-20","1","2025-09-09 04:00:06",111960.67717391,0,0,111952.58630435,"2025-09-09 04:10:08",112106.4023913,"2025-09-09 04:30:08",112335.25608696,"2025-09-09 05:00:08",0,,"WIN","LOSE","LOSE",,0,"2025-09-09 04:00:06","2025-09-09 05:00:08",FALSE,FALSE,
3157,"Sell","BTCUSDT","MWP-20","1","2025-09-09 04:00:06",111960.67717391,0,0,111952.58630435,"2025-09-09 04:10:08",112106.4023913,"2025-09-09 04:30:08",112335.25608696,"2025-09-09 05:00:08",0,,"WIN","LOSE","LOSE",,0,"2025-09-09 04:00:06","2025-09-09 05:00:08",FALSE,FALSE,
3158,"Sell","BTCUSDT","MWP-25","1","2025-09-09 04:01:06",111940.34891304,0,0,111955.31673913,"2025-09-09 04:11:08",112114.76891304,"2025-09-09 04:31:07",112373.22869565,"2025-09-09 05:01:07",0,,"LOSE","LOSE","LOSE",,0,"2025-09-09 04:01:06","2025-09-09 05:01:07",FALSE,FALSE,
3159,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-09 04:01:06",111940.34891304,0,0,111955.31673913,"2025-09-09 04:11:08",112114.76891304,"2025-09-09 04:31:07",112373.22869565,"2025-09-09 05:01:07",0,,"LOSE","LOSE","LOSE",,0,"2025-09-09 04:01:06","2025-09-09 05:01:07",FALSE,FALSE,
3160,"FlowTrend Bearish + Sell","BTCUSDT","MWP-25","1","2025-09-09 04:01:06",111940.34891304,0,0,111955.31673913,"2025-09-09 04:11:08",112114.76891304,"2025-09-09 04:31:07",112373.22869565,"2025-09-09 05:01:07",0,,"LOSE","LOSE","LOSE",,0,"2025-09-09 04:01:06","2025-09-09 05:01:07",FALSE,FALSE,
3161,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-09 04:15:04",112139.41456522,0,0,112111.37978261,"2025-09-09 04:25:05",112254.01347826,"2025-09-09 04:45:04",112444.02652174,"2025-09-09 05:15:06",0,,"LOSE","WIN","WIN",,0,"2025-09-09 04:15:04","2025-09-09 05:15:06",FALSE,FALSE,
3162,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-20","1","2025-09-09 04:15:04",112139.41456522,0,0,112111.37978261,"2025-09-09 04:25:05",112254.01347826,"2025-09-09 04:45:06",112444.02652174,"2025-09-09 05:15:06",0,,"LOSE","WIN","WIN",,0,"2025-09-09 04:15:04","2025-09-09 05:15:06",FALSE,FALSE,
3163,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-25","1","2025-09-09 04:15:04",112139.41456522,0,0,112111.37978261,"2025-09-09 04:25:05",112254.01347826,"2025-09-09 04:45:06",112444.02652174,"2025-09-09 05:15:06",0,,"LOSE","WIN","WIN",,0,"2025-09-09 04:15:04","2025-09-09 05:15:06",FALSE,FALSE,
3164,"Buy","BTCUSDT","MWP-20","1","2025-09-09 04:15:04",112139.41456522,0,0,112111.37978261,"2025-09-09 04:25:06",112254.01347826,"2025-09-09 04:45:06",112444.02652174,"2025-09-09 05:15:06",0,,"LOSE","WIN","WIN",,0,"2025-09-09 04:15:04","2025-09-09 05:15:06",FALSE,FALSE,
3165,"Buy","BTCUSDT","MWP-25","1","2025-09-09 04:15:04",112139.41456522,0,0,112111.37978261,"2025-09-09 04:25:05",112254.01347826,"2025-09-09 04:45:06",112444.02652174,"2025-09-09 05:15:06",0,,"LOSE","WIN","WIN",,0,"2025-09-09 04:15:04","2025-09-09 05:15:06",FALSE,FALSE,
3166,"Buy","BTCUSDT","Range Filter5","5","2025-09-09 04:45:03",112254.01347826,0,0,112267.35326087,"2025-09-09 04:55:05",112444.02652174,"2025-09-09 05:15:05",112378.94173913,"2025-09-09 05:45:05",0,,"WIN","WIN","WIN",,0,"2025-09-09 04:45:03","2025-09-09 05:45:05",FALSE,FALSE,
3167,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-09 05:22:03",112362.49586957,0,0,112337.88673913,"2025-09-09 05:32:04",112239.92130435,"2025-09-09 05:52:03",112198.01934783,"2025-09-09 06:22:06",0,,"WIN","WIN","WIN",,0,"2025-09-09 05:22:03","2025-09-09 06:22:06",FALSE,FALSE,
3168,"Sell","BTCUSDT","Range FRAMA3-99","1","2025-09-09 05:22:03",112362.49586957,0,0,112337.88673913,"2025-09-09 05:32:04",112239.92130435,"2025-09-09 05:52:03",112198.01869565,"2025-09-09 06:22:06",0,,"WIN","WIN","WIN",,0,"2025-09-09 05:22:03","2025-09-09 06:22:06",FALSE,FALSE,
3169,"Sell","BTCUSDT","MWP-20","1","2025-09-09 05:27:02",112320.01173913,0,0,112322.48826087,"2025-09-09 05:37:04",112211.37869565,"2025-09-09 05:57:04",112160.91695652,"2025-09-09 06:27:04",0,,"LOSE","WIN","WIN",,0,"2025-09-09 05:27:02","2025-09-09 06:27:04",FALSE,FALSE,
3170,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-09 05:43:04",112395.22543478,0,0,112214.13478261,"2025-09-09 05:53:06",112227.56717391,"2025-09-09 06:13:05",112072.27956522,"2025-09-09 06:43:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-09 05:43:04","2025-09-09 06:43:05",FALSE,FALSE,
3171,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-09 05:48:04",112307.59195652,0,0,112216.765,"2025-09-09 05:58:05",112237.36847826,"2025-09-09 06:18:05",112044.44630435,"2025-09-09 06:48:05",0,,"WIN","WIN","WIN",,0,"2025-09-09 05:48:04","2025-09-09 06:48:05",FALSE,FALSE,
3172,"Sell","BTCUSDT","MWP-25","1","2025-09-09 05:49:04",112301.27717391,0,0,112231.27978261,"2025-09-09 05:59:05",112251.65065217,"2025-09-09 06:19:05",112051.07717391,"2025-09-09 06:49:06",0,,"WIN","WIN","WIN",,0,"2025-09-09 05:49:04","2025-09-09 06:49:06",FALSE,FALSE,
3173,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-27","1","2025-09-09 05:50:03",112272.11586957,0,0,112241.78630435,"2025-09-09 06:00:04",112278.36456522,"2025-09-09 06:20:04",112052.30478261,"2025-09-09 06:50:05",0,,"WIN","LOSE","WIN",,0,"2025-09-09 05:50:03","2025-09-09 06:50:05",FALSE,FALSE,
3174,"Sell","BTCUSDT","MWP-27","1","2025-09-09 05:50:03",112272.11586957,0,0,112241.78630435,"2025-09-09 06:00:04",112278.36456522,"2025-09-09 06:20:04",112052.30478261,"2025-09-09 06:50:05",0,,"WIN","LOSE","WIN",,0,"2025-09-09 05:50:03","2025-09-09 06:50:05",FALSE,FALSE,
3175,"Sell","BTCUSDT","MWP-30","1","2025-09-09 05:52:03",112239.92130435,0,0,112235.61934783,"2025-09-09 06:02:04",112198.01934783,"2025-09-09 06:22:06",111999.07478261,"2025-09-09 06:52:05",0,,"WIN","WIN","WIN",,0,"2025-09-09 05:52:03","2025-09-09 06:52:05",FALSE,FALSE,
3176,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-30","1","2025-09-09 05:52:03",112239.92130435,0,0,112235.61934783,"2025-09-09 06:02:04",112198.01934783,"2025-09-09 06:22:06",111999.07478261,"2025-09-09 06:52:05",0,,"WIN","WIN","WIN",,0,"2025-09-09 05:52:03","2025-09-09 06:52:05",FALSE,FALSE,
3177,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-09 06:07:03",112284.7873913,0,0,112214.8123913,"2025-09-09 06:17:05",112111.80456522,"2025-09-09 06:37:05",112043.81326087,"2025-09-09 07:07:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-09 06:07:03","2025-09-09 07:07:04",FALSE,FALSE,
3178,"Buy","BTCUSDT","MWP-20","1","2025-09-09 06:09:03",112302.56369565,0,0,112251.65065217,"2025-09-09 06:19:05",112127.25652174,"2025-09-09 06:39:05",112065.81478261,"2025-09-09 07:09:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-09 06:09:03","2025-09-09 07:09:06",FALSE,FALSE,
3179,"Sell","BTCUSDT","MWP-20","1","2025-09-09 06:13:03",112227.76869565,0,0,112198.8926087,"2025-09-09 06:23:04",112072.27956522,"2025-09-09 06:43:04",111992.86456522,"2025-09-09 07:13:03",0,,"WIN","WIN","WIN",,0,"2025-09-09 06:13:03","2025-09-09 07:13:03",FALSE,FALSE,
3180,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-20","1","2025-09-09 06:13:03",112227.76869565,0,0,112198.8926087,"2025-09-09 06:23:04",112072.27956522,"2025-09-09 06:43:04",111992.86456522,"2025-09-09 07:13:03",0,,"WIN","WIN","WIN",,0,"2025-09-09 06:13:03","2025-09-09 07:13:03",FALSE,FALSE,
3181,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-09 06:13:03",112227.76869565,0,0,112198.8926087,"2025-09-09 06:23:04",112072.27956522,"2025-09-09 06:43:04",111992.86456522,"2025-09-09 07:13:03",0,,"WIN","WIN","WIN",,0,"2025-09-09 06:13:03","2025-09-09 07:13:03",FALSE,FALSE,
