"strategy","action","entry_time","result_10min","pnl_value"
"SuperTrend9","Buy","2025-10-01 00:05:03","WIN",50
"MWP10-1m","Buy","2025-10-01 00:05:03","WIN",50
"Range FRAMA100-3","Buy","2025-10-01 00:06:02","WIN",50
"UTBOT2-5","Buy","2025-10-01 00:09:02","WIN",50
"MWP-31","Buy","2025-10-01 00:18:02","LOSE",-50
"Rang Fillter WR","Buy","2025-10-01 00:20:03","WIN",50
"Range Filter5","Buy","2025-10-01 00:20:04","WIN",50
"MWP20-3m","Buy","2025-10-01 00:39:02","LOSE",-50
"SuperTrend9","Sell","2025-10-01 00:45:04","LOSE",-50
"MWP10-1m","Sell","2025-10-01 00:46:02","LOSE",-50
"SuperTrend10","Sell","2025-10-01 01:02:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 01:11:02","WIN",50
"MWP10-1m","Buy","2025-10-01 01:11:03","LOSE",-50
"Range FRAMA100-3","Buy","2025-10-01 01:12:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 01:34:01","LOSE",-50
"SuperTrend9","Sell","2025-10-01 01:34:01","LOSE",-50
"SuperTrend9","Buy","2025-10-01 01:46:02","WIN",50
"MWP10-1m","Buy","2025-10-01 01:48:02","WIN",50
"SuperTrend9","Sell","2025-10-01 02:07:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 02:16:02","WIN",50
"SuperTrend9","Sell","2025-10-01 03:03:02","WIN",50
"MWP10-1m","Sell","2025-10-01 03:04:01","WIN",50
"SuperTrend10","Sell","2025-10-01 03:08:03","LOSE",-50
"SuperTrend9","Buy","2025-10-01 03:23:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 03:23:03","LOSE",-50
"Range FRAMA100-3","Buy","2025-10-01 03:24:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 04:13:03","WIN",50
"SuperTrend9","Sell","2025-10-01 04:13:03","WIN",50
"SuperTrend10","Sell","2025-10-01 04:14:02","WIN",50
"Range FRAMA100-3","Sell","2025-10-01 04:15:03","LOSE",-50
