"id","action","symbol","strategy","tf","entry_time","entry_price","order_value","order_interval","price_10min","price_10min_ts","price_30min","price_30min_ts","price_60min","price_60min_ts","price_1day","price_1day_ts","result_10min","result_30min","result_60min","result_1day","pnl","created_at","updated_at","trade","martingale","signal_time"
1322,"Sell","BTCUSDT","MWP-25","1","2025-09-03 15:26:04",111059.13521739,0,0,111037.66195652,"2025-09-03 15:36:06",110994.59434783,"2025-09-03 15:56:05",111182.32021739,"2025-09-03 16:26:05",0,,"WIN","WIN","LOSE",,0,"2025-09-03 15:26:04","2025-09-03 16:26:05",FALSE,FALSE,
1323,"Sell","BTCUSDT","MWP-27","1","2025-09-03 15:35:04",111056.57065217,0,0,111062.9485,"2025-09-03 15:45:06",110959.49978261,"2025-09-03 16:05:05",111194.69586957,"2025-09-03 16:35:05",0,,"LOSE","WIN","LOSE",,0,"2025-09-03 15:35:04","2025-09-03 16:35:05",FALSE,FALSE,
1324,"Sell","BTCUSDT","MWP-30","1","2025-09-03 15:38:04",111015.64195652,0,0,111024.91826087,"2025-09-03 15:48:06",110970.55934783,"2025-09-03 16:08:05",111167.29347826,"2025-09-03 16:38:05",0,,"LOSE","WIN","LOSE",,0,"2025-09-03 15:38:04","2025-09-03 16:38:05",FALSE,FALSE,
1325,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-30","1","2025-09-03 15:38:04",111015.64195652,0,0,111024.91826087,"2025-09-03 15:48:06",110970.55934783,"2025-09-03 16:08:05",111167.29347826,"2025-09-03 16:38:05",0,,"LOSE","WIN","LOSE",,0,"2025-09-03 15:38:04","2025-09-03 16:38:05",FALSE,FALSE,
1326,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-03 16:09:03",111000.67565217,0,0,111256.89086957,"2025-09-03 16:19:04",111188.30456522,"2025-09-03 16:39:04",111261.38130435,"2025-09-03 17:09:04",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:09:03","2025-09-03 17:09:04",FALSE,FALSE,
1327,"FlowTrend Bullish + Buy","BTCUSDT","MWP-27","1","2025-09-03 16:18:03",111115.725,0,0,111147.69717391,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:03","2025-09-03 17:18:05",FALSE,FALSE,
1328,"Buy","BTCUSDT","Range FRAMA3-99","1","2025-09-03 16:18:03",111115.725,0,0,111147.69717391,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:03","2025-09-03 17:18:05",FALSE,FALSE,
1329,"Buy","BTCUSDT","MWP-25","1","2025-09-03 16:18:03",111115.725,0,0,111147.69717391,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:03","2025-09-03 17:18:05",FALSE,FALSE,
1330,"Buy","BTCUSDT","MWP-27","1","2025-09-03 16:18:03",111115.725,0,0,111147.69717391,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:03","2025-09-03 17:18:05",FALSE,FALSE,
1331,"Buy","BTCUSDT","Range FRAMA3","1","2025-09-03 16:18:03",111115.725,0,0,111147.69717391,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:03","2025-09-03 17:18:05",FALSE,FALSE,
1332,"FlowTrend Bullish + Buy","BTCUSDT","MWP-25","1","2025-09-03 16:18:03",111115.725,0,0,111147.69717391,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:03","2025-09-03 17:18:05",FALSE,FALSE,
1333,"Buy","BTCUSDT","MWP-20","1","2025-09-03 16:18:03",111115.725,0,0,111147.69717391,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:03","2025-09-03 17:18:05",FALSE,FALSE,
1334,"FlowTrend Bullish + Buy","BTCUSDT","MWP-20","1","2025-09-03 16:18:04",111115.725,0,0,111147.40586957,"2025-09-03 16:28:05",111157.65543478,"2025-09-03 16:48:05",111341.21673913,"2025-09-03 17:18:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 16:18:04","2025-09-03 17:18:05",FALSE,FALSE,
1335,"Buy","BTCUSDT","MWP-30","1","2025-09-03 16:19:04",111256.89086957,0,0,111153.72456522,"2025-09-03 16:29:06",111228.07043478,"2025-09-03 16:49:05",111324.4676087,"2025-09-03 17:19:06",0,,"LOSE","LOSE","WIN",,0,"2025-09-03 16:19:04","2025-09-03 17:19:06",FALSE,FALSE,
1336,"FlowTrend Bullish + Buy","BTCUSDT","MWP-30","1","2025-09-03 16:19:04",111256.89086957,0,0,111153.72456522,"2025-09-03 16:29:06",111227.89652174,"2025-09-03 16:49:05",111324.4676087,"2025-09-03 17:19:06",0,,"LOSE","LOSE","WIN",,0,"2025-09-03 16:19:04","2025-09-03 17:19:06",FALSE,FALSE,
1337,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-03 17:07:03",111185.21434783,0,0,111334.61891304,"2025-09-03 17:17:04",111427.26478261,"2025-09-03 17:37:05",111638.215,"2025-09-03 18:07:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 17:07:03","2025-09-03 18:07:05",FALSE,FALSE,
1338,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-03 17:15:05",111338.98934783,0,0,111402.70782609,"2025-09-03 17:25:06",111453.71,"2025-09-03 17:45:07",111642.85717391,"2025-09-03 18:15:06",0,,"WIN","WIN","WIN",,0,"2025-09-03 17:15:05","2025-09-03 18:15:06",FALSE,FALSE,
1339,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-03 17:50:04",111394.52304348,0,0,111448.47369565,"2025-09-03 18:00:06",111597.25652174,"2025-09-03 18:20:07",111508.98391304,"2025-09-03 18:50:07",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 17:50:04","2025-09-03 18:50:07",FALSE,FALSE,
1340,"Sell","BTCUSDT","MWP-20","1","2025-09-03 17:52:04",111334.72521739,0,0,111493.57021739,"2025-09-03 18:02:05",111541.18434783,"2025-09-03 18:22:05",111521.2776087,"2025-09-03 18:52:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 17:52:04","2025-09-03 18:52:06",FALSE,FALSE,
1341,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-03 17:58:04",111447.28521739,0,0,111625.52608696,"2025-09-03 18:08:06",111494.43456522,"2025-09-03 18:28:06",111496.13173913,"2025-09-03 18:58:05",0,,"WIN","WIN","WIN",,0,"2025-09-03 17:58:04","2025-09-03 18:58:05",FALSE,FALSE,
1342,"Buy","BTCUSDT","MWP-20","1","2025-09-03 18:02:04",111495.00782609,0,0,111630.72717391,"2025-09-03 18:12:05",111397.86782609,"2025-09-03 18:32:05",111527.96043478,"2025-09-03 19:02:05",0,,"WIN","LOSE","WIN",,0,"2025-09-03 18:02:04","2025-09-03 19:02:05",FALSE,FALSE,
1343,"FlowTrend Bullish + Buy","BTCUSDT","MWP-20","1","2025-09-03 18:02:04",111495.00782609,0,0,111630.72717391,"2025-09-03 18:12:05",111397.35043478,"2025-09-03 18:32:05",111527.96043478,"2025-09-03 19:02:05",0,,"WIN","LOSE","WIN",,0,"2025-09-03 18:02:04","2025-09-03 19:02:05",FALSE,FALSE,
1344,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-03 18:23:04",111541.78956522,0,0,111421.04108696,"2025-09-03 18:33:08",111529.50478261,"2025-09-03 18:53:05",111593.93173913,"2025-09-03 19:23:06",0,,"WIN","WIN","LOSE",,0,"2025-09-03 18:23:04","2025-09-03 19:23:06",FALSE,FALSE,
1345,"Sell","BTCUSDT","Range FRAMA3-99","1","2025-09-03 18:24:04",111523.85978261,0,0,111500.44326087,"2025-09-03 18:34:06",111514.89630435,"2025-09-03 18:54:05",111580.96282609,"2025-09-03 19:24:06",0,,"WIN","WIN","LOSE",,0,"2025-09-03 18:24:04","2025-09-03 19:24:06",FALSE,FALSE,
1346,"Sell","BTCUSDT","Range FRAMA3","1","2025-09-03 18:24:04",111523.85978261,0,0,111500.88673913,"2025-09-03 18:34:06",111514.89630435,"2025-09-03 18:54:05",111580.96282609,"2025-09-03 19:24:05",0,,"WIN","WIN","LOSE",,0,"2025-09-03 18:24:04","2025-09-03 19:24:05",FALSE,FALSE,
1347,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-20","1","2025-09-03 18:26:04",111449.01673913,0,0,111592.36478261,"2025-09-03 18:36:05",111471.53673913,"2025-09-03 18:56:05",111563.05326087,"2025-09-03 19:26:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 18:26:04","2025-09-03 19:26:06",FALSE,FALSE,
1348,"Sell","BTCUSDT","MWP-20","1","2025-09-03 18:26:04",111449.01673913,0,0,111592.36478261,"2025-09-03 18:36:05",111471.53673913,"2025-09-03 18:56:05",111563.05326087,"2025-09-03 19:26:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 18:26:04","2025-09-03 19:26:06",FALSE,FALSE,
1349,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-25","1","2025-09-03 18:32:04",111397.98217391,0,0,111519.37173913,"2025-09-03 18:42:06",111527.96043478,"2025-09-03 19:02:05",111506.08347826,"2025-09-03 19:32:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 18:32:04","2025-09-03 19:32:06",FALSE,FALSE,
1350,"Sell","BTCUSDT","MWP-27","1","2025-09-03 18:32:04",111397.98217391,0,0,111519.37173913,"2025-09-03 18:42:06",111527.96043478,"2025-09-03 19:02:05",111506.08347826,"2025-09-03 19:32:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 18:32:04","2025-09-03 19:32:06",FALSE,FALSE,
1351,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-27","1","2025-09-03 18:32:04",111397.98217391,0,0,111519.37173913,"2025-09-03 18:42:06",111527.96043478,"2025-09-03 19:02:05",111506.08347826,"2025-09-03 19:32:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 18:32:04","2025-09-03 19:32:06",FALSE,FALSE,
1352,"Sell","BTCUSDT","MWP-25","1","2025-09-03 18:32:04",111397.98217391,0,0,111519.37173913,"2025-09-03 18:42:06",111527.96043478,"2025-09-03 19:02:05",111506.08347826,"2025-09-03 19:32:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 18:32:04","2025-09-03 19:32:06",FALSE,FALSE,
1353,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-03 18:35:04",111548.50826087,0,0,111567.79978261,"2025-09-03 18:45:06",111589.75847826,"2025-09-03 19:05:05",111575.9576087,"2025-09-03 19:35:06",0,,"WIN","WIN","WIN",,0,"2025-09-03 18:35:04","2025-09-03 19:35:06",FALSE,FALSE,
1354,"Buy","BTCUSDT","Range FRAMA3-99","1","2025-09-03 18:36:04",111592.37695652,0,0,111529.93826087,"2025-09-03 18:46:06",111615.46304348,"2025-09-03 19:06:05",111644.67043478,"2025-09-03 19:36:06",0,,"LOSE","WIN","WIN",,0,"2025-09-03 18:36:04","2025-09-03 19:36:06",FALSE,FALSE,
1355,"Buy","BTCUSDT","Range FRAMA3","1","2025-09-03 18:36:04",111592.37695652,0,0,111529.93826087,"2025-09-03 18:46:06",111615.46304348,"2025-09-03 19:06:05",111644.67043478,"2025-09-03 19:36:06",0,,"LOSE","WIN","WIN",,0,"2025-09-03 18:36:04","2025-09-03 19:36:06",FALSE,FALSE,
1356,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-03 19:00:13",111477.145,0,0,111549.79891304,"2025-09-03 19:10:14",111510.05065217,"2025-09-03 19:30:15",111141.85630435,"2025-09-03 20:00:13",0,,"LOSE","LOSE","WIN",,0,"2025-09-03 19:00:13","2025-09-03 20:00:13",FALSE,FALSE,
1357,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-03 19:03:03",111550.73282609,0,0,111508.12434783,"2025-09-03 19:13:05",111573.77065217,"2025-09-03 19:33:05",111190.49304348,"2025-09-03 20:03:05",0,,"LOSE","WIN","LOSE",,0,"2025-09-03 19:03:03","2025-09-03 20:03:05",FALSE,FALSE,
1358,"Buy","BTCUSDT","MWP-20","1","2025-09-03 19:04:03",111581.93065217,0,0,111476.72804348,"2025-09-03 19:14:04",111595.75195652,"2025-09-03 19:34:04",111245.95391304,"2025-09-03 20:04:04",0,,"LOSE","WIN","LOSE",,0,"2025-09-03 19:04:03","2025-09-03 20:04:04",FALSE,FALSE,
1359,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-03 19:14:04",111476.72804348,0,0,111580.96282609,"2025-09-03 19:24:05",111342.21,"2025-09-03 19:44:04",111334.77608696,"2025-09-03 20:14:06",0,,"LOSE","WIN","WIN",,0,"2025-09-03 19:14:04","2025-09-03 20:14:06",FALSE,FALSE,
1360,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-03 19:21:03",111599.87717391,0,0,111459.68065217,"2025-09-03 19:31:04",111118.64586957,"2025-09-03 19:51:05",111449.14152174,"2025-09-03 20:21:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:21:03","2025-09-03 20:21:04",FALSE,FALSE,
1361,"Sell","BTCUSDT","MWP-20","1","2025-09-03 19:31:03",111459.68913043,0,0,111591.16913043,"2025-09-03 19:41:06",111130.37108696,"2025-09-03 20:01:05",111368.95413043,"2025-09-03 20:31:05",0,,"LOSE","WIN","WIN",,0,"2025-09-03 19:31:03","2025-09-03 20:31:05",FALSE,FALSE,
1362,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-03 19:31:03",111459.68913043,0,0,111591.16913043,"2025-09-03 19:41:06",111130.37108696,"2025-09-03 20:01:05",111368.95413043,"2025-09-03 20:31:05",0,,"LOSE","WIN","WIN",,0,"2025-09-03 19:31:03","2025-09-03 20:31:05",FALSE,FALSE,
1363,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-03 19:34:04",111595.75195652,0,0,111342.21,"2025-09-03 19:44:04",111245.95391304,"2025-09-03 20:04:04",111456.96304348,"2025-09-03 20:34:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:34:04","2025-09-03 20:34:05",FALSE,FALSE,
1364,"Buy","BTCUSDT","Range FRAMA3-99","1","2025-09-03 19:36:06",111639.85543478,0,0,111277.80043478,"2025-09-03 19:46:07",111278.29978261,"2025-09-03 20:06:09",111450.02630435,"2025-09-03 20:36:08",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:36:06","2025-09-03 20:36:08",FALSE,FALSE,
1365,"Buy","BTCUSDT","MWP-20","1","2025-09-03 19:36:06",111639.85543478,0,0,111277.80043478,"2025-09-03 19:46:07",111278.29978261,"2025-09-03 20:06:09",111450.02630435,"2025-09-03 20:36:08",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:36:06","2025-09-03 20:36:08",FALSE,FALSE,
1366,"Buy","BTCUSDT","MWP-25","1","2025-09-03 19:36:06",111639.85543478,0,0,111277.80043478,"2025-09-03 19:46:07",111278.29978261,"2025-09-03 20:06:09",111450.02630435,"2025-09-03 20:36:08",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:36:06","2025-09-03 20:36:08",FALSE,FALSE,
1367,"FlowTrend Bullish + Buy","BTCUSDT","MWP-25","1","2025-09-03 19:36:06",111639.85543478,0,0,111277.80043478,"2025-09-03 19:46:07",111278.29978261,"2025-09-03 20:06:09",111450.02630435,"2025-09-03 20:36:08",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:36:06","2025-09-03 20:36:08",FALSE,FALSE,
1368,"FlowTrend Bullish + Buy","BTCUSDT","MWP-20","1","2025-09-03 19:36:06",111639.85543478,0,0,111277.80043478,"2025-09-03 19:46:07",111278.29978261,"2025-09-03 20:06:09",111450.02630435,"2025-09-03 20:36:08",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:36:06","2025-09-03 20:36:08",FALSE,FALSE,
1369,"FlowTrend Bullish + Buy","BTCUSDT","MWP-27","1","2025-09-03 19:37:04",111698.67195652,0,0,111293.70695652,"2025-09-03 19:47:05",111265.33326087,"2025-09-03 20:07:06",111351.06065217,"2025-09-03 20:37:06",0,,"LOSE","LOSE","LOSE",,0,"2025-09-03 19:37:04","2025-09-03 20:37:06",FALSE,FALSE,
