strategy,action,score,perf_score,momentum_score,stability_score,avg_unit_1d,total_units_1d,avg_unit_3h,avg_unit_1h,momentum_delta,std_unit_1h,max_loss_streak_1h,samples_1d
SuperTrend9,Buy,8.1,9.2,7.5,7.1,0.2400000000000001,10.800000000000004,0.0285714285714285,0.8,0.7714285714285716,0.0,0,45
UTBOT2-5,Buy,7.8,9.4,7.1,6.3,0.44,4.4,0.8,0.8,0.0,0.0,0,10
MWP-31,Sell,7.7,8.3,7.6,6.6,0.1647058823529411,2.8,-0.0999999999999999,0.8,0.8999999999999999,0.0,0,17
MWP-20,FlowTrend Bearish + Sell+,7.5,8.8,7.1,5.8,0.44,2.2,0.8,0.8,0.0,0.0,0,5
MWP-27,FlowTrend Bearish + Sell+,7.5,8.8,7.1,5.8,0.44,2.2,0.8,0.8,0.0,0.0,0,5
MWP-31,FlowTrend Bearish + Sell+,7.5,8.8,7.1,5.8,0.44,2.2,0.8,0.8,0.0,0.0,0,5
MWP-25,Sell,7.4,8.0,7.2,6.5,0.1571428571428571,2.2,0.8,0.8,0.0,0.0,0,14
MWP-27,Sell,7.3,7.0,7.9,6.8,0.08,1.6,-0.0999999999999999,0.8,0.8999999999999999,0.0,0,20
MWP-20,Sell,7.2,7.4,7.3,6.7,0.1,1.8000000000000005,0.8,0.8,0.0,0.0,0,18
MWP-25,FlowTrend Bearish + Sell,7.2,7.9,7.2,5.9,0.2,1.2000000000000002,0.8,0.8,0.0,0.0,0,6
UT-BOT2-10 CAL1M,Buy,7.2,8.6,6.8,5.2,0.8,0.8,0.8,0.8,0.0,0.0,0,1
MWP20-3m,Buy,7.2,7.3,7.7,6.1,0.125,1.0000000000000002,-0.0999999999999999,0.8,0.8999999999999999,0.0,0,8
Range FRAMA3,Sell,6.9,6.7,7.3,6.3,0.08,0.8000000000000003,0.8,0.8,0.0,0.0,0,10
UTBOT2-5,Sell,6.6,5.3,8.0,6.2,0.0,0.0,-0.0999999999999999,0.8,0.8999999999999999,0.0,0,9
MWP-25,FlowTrend Bullish + Buy+,6.6,6.1,7.4,6.0,0.0285714285714286,0.2000000000000001,0.8,0.8,0.0,0.0,0,7
MWP-30,Buy,6.2,8.4,5.7,3.0,0.1314285714285714,4.6000000000000005,-0.2285714285714285,-0.0999999999999999,0.1285714285714286,0.9,1,35
SuperTrend10,Sell,6.2,4.5,7.6,6.9,-0.0357142857142857,-0.9999999999999996,-0.4000000000000001,0.8,1.2000000000000002,0.0,0,28
SuperTrend9,Sell,6.0,7.7,5.8,3.2,0.08,3.6000000000000014,-0.2285714285714286,-0.0999999999999999,0.1285714285714287,0.9,1,45
